"","sigsq","sigsq.tier","source","trait"
"sigsq.period.CR9121",0.456645053763667,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9121",0.300449408684495,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9122",0.230364478856128,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9122",0.00392427453083534,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9122",0.35104551486504,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9122",0.0855123827504692,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9123",0.0785276885261095,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9123",0.0137162178732747,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9123",0.245809974003736,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9123",0.223137681905419,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9124",0.0820757501541219,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9124",0.0125478359879289,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9124",0.472543880274529,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9124",0.111877530687188,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9125",0.116127234953899,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9125",0.00603330242474649,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9125",0.307308223982919,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9125",0.33733842717885,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9126",0.061320198990567,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9126",0.0161772723281726,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9126",0.332622336596108,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9126",0.187339080183456,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9127",0.149029970698269,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9127",0.00260335707796922,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9127",0.244014690335739,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9127",0.0752353490320501,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9128",0.162719371183136,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9128",0.0155972042877535,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9128",0.307506840241483,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9128",0.110028799400819,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9129",0.0999492403598722,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9129",0.00368368958769446,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9129",0.340066969421424,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9129",0.0801159365973328,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9130",0.180896784318971,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9130",0.00808708512362245,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9130",0.389670921789775,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9130",0.119257637582381,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9131",0.0767666282281336,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9131",0.0123568710793332,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9131",0.255226343445902,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9131",0.301599969221422,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9132",0.150696652494038,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9132",0.00354259144508708,"sigsq.wavelet.IR","Individual","Rhythmicity"
