Individual,Dominant_Period,cf_wavelet,nancount,Date,Colony,Species,Origin
7_17_12,17.19383376,2.768481106,0.002083333,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_13,21.16809238,2.798661536,0.176041667,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_14,9.213947371,2.893213286,0.060416667,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_15,18.42789474,2.831344588,0.0375,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_16,26.06097867,2.423121273,0.00625,7/17/2022,EGT16,Temnothorax_rudis,Emigrant_Gap_CA
7_17_17,10.58404619,2.60204048,0.016666667,7/17/2022,EGT16,Temnothorax_rudis,Emigrant_Gap_CA
7_17_18,42.33618475,2.657499867,0.057291667,7/17/2022,EGT13,Temnothorax_rudis,Emigrant_Gap_CA
7_17_19,27.93146535,2.433629683,0.015625,7/17/2022,EGT13,Temnothorax_rudis,Emigrant_Gap_CA
7_17_2,19.75052856,2.784894871,0.038541667,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_20,26.06097867,3.119702296,0.011458333,7/17/2022,SHL2,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_21,27.93146535,2.788444068,0.00625,7/17/2022,SHL2,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_22,59.87240666,2.436969999,0,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_23,14.96810166,2.774069015,0.016666667,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_24,26.06097867,3.035937228,0.004166667,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_25,22.68739966,2.720247197,0,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_26,14.96810166,2.48429736,0,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_27,26.06097867,2.195252178,0.046875,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_28,16.04241415,3.141307938,0.019791667,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_29,12.15787645,2.188093155,0.004166667,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_3,26.06097867,2.598939484,0.022916667,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
