"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.CR9457",0.0789255779799688,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9457",0.00707581423233029,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9457",0.49722744127464,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9457",0.105280327055029,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9458",0.0856554082850381,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9458",0.00757311384173741,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9458",0.510526252474721,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9458",0.279122604332307,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9459",0.0542693215229734,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9459",0.0100103635250388,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9459",0.357985703097883,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9459",0.0466925968575455,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9460",0.178925779907616,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9460",0.00865214219291169,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9460",0.261589295766334,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9460",0.241891354717028,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9461",0.120774656551587,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9461",0.00636054136043445,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9461",0.333580652570462,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9461",0.219075469650758,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9462",0.073583393831017,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9462",0.0057468523749148,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9462",0.26558130049404,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9462",0.222053931180769,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9463",0.0977662099852022,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9463",0.0125174135008178,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9463",0.327700387558894,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9463",0.0491503722976257,"sigsq.period.IR","Individual","Period"
